티커,종목,시장
060310,3S,KSQ
095570,AJ네트웍스,STK
006840,AK홀딩스,STK
054620,APS,KSQ
079810,APS이노베이션,KSQ
265520,AP시스템,KSQ
211270,AP위성,KSQ
027410,BGF,STK
282330,BGF리테일,STK
126600,BGF에코머티리얼즈,KSQ
138930,BNK금융지주,STK
001460,BYC,STK
001465,BYC우,STK
083790,CG인바이츠,KSQ
001040,CJ,STK
079160,CJ CGV,STK
035760,CJ ENM,KSQ
311690,CJ 바이오사이언스,KSQ
00104K,CJ4우(전환),STK
000120,CJ대한통운,STK
011150,CJ씨푸드,STK
011155,CJ씨푸드1우,STK
001045,CJ우,STK
097950,CJ제일제당,STK
097955,CJ제일제당 우,STK
051500,CJ프레시웨이,KSQ
058820,CMG제약,KSQ
056730,CNT85,KSQ
000480,CR홀딩스,STK
065770,CS,KSQ
083660,CSA 코스믹,KSQ
000590,CS홀딩스,STK
012030,DB,STK
477760,DB금융스팩12호,KSQ
005830,DB손해보험,STK
016610,DB증권,STK
000990,DB하이텍,STK
099520,DGI,KSQ
000300,DH오토넥스,STK
290120,DH오토리드,KSQ
025440,DH오토웨어,KSQ
001530,DI동일,STK
015590,DKME,STK
000210,DL,STK
000215,DL우,STK
375500,DL이앤씨,STK
37550L,DL이앤씨2우(전환),STK
37550K,DL이앤씨우,STK
068790,DMS,KSQ
007340,DN오토모티브,STK
004840,DRB동일,STK
241520,DSC인베스트먼트,KSQ
155660,DSR,STK
069730,DSR제강,STK
017860,DS단석,STK
180400,DXVX,KSQ
092780,DYP,STK
017940,E1,STK
418620,E8,KSQ
245620,EDGC,KSQ
037370,EG,KSQ
278990,EMB,KNX
365550,ESR켄달스퀘어리츠,STK
050120,ES큐브,KSQ
383220,F&F,STK
007700,F&F홀딩스,STK
214270,FSN,KSQ
032620,GC메디아이,KSQ
130500,GH신소재,KSQ
114090,GKL,STK
019570,GMI벤처,KSQ
900290,GRT,KSQ
078930,GS,STK
083450,GST,KSQ
006360,GS건설,STK
001250,GS글로벌,STK
007070,GS리테일,STK
078935,GS우,STK
499790,GS피앤엘,STK
297890,HB솔루션,KSQ
440290,HB인베스트먼트,KSQ
078150,HB테크놀러지,KSQ
225530,HC보광산업,KSQ
060560,HC홈센타,KSQ
012630,HDC,STK
039570,HDC랩스,STK
089470,HDC현대EP,STK
267270,HD건설기계,STK
009540,HD한국조선해양,STK
267250,HD현대,STK
443060,HD현대마린솔루션,STK
071970,HD현대마린엔진,STK
322000,HD현대에너지솔루션,STK
267260,HD현대일렉트릭,STK
329180,HD현대중공업,STK
376270,HEM파마,KSQ
097230,HJ중공업,STK
195940,HK이노엔,KSQ
014790,HL D&I,STK
028300,HLB,KSQ
003580,HLB글로벌,STK
278650,HLB바이오스텝,KSQ
067630,HLB생명과학,KSQ
024850,HLB이노베이션,KSQ
187420,HLB제넥스,KSQ
047920,HLB제약,KSQ
115450,HLB테라퓨틱스,KSQ
046210,HLB파나진,KSQ
196300,HLB펩,KSQ
204320,HL만도,STK
060980,HL홀딩스,STK
011200,HMM,STK
403870,HPSP,KSQ
036640,HRS,KSQ
035000,HS애드,STK
002460,HS화성,STK
487570,HS효성,STK
298050,HS효성첨단소재,STK
469480,IBKS제24호스팩,KSQ
0099X0,IBKS제25호스팩,KSQ
015360,INVENI,STK
294870,IPARK현대산업개발,STK
095340,ISC,KSQ
175330,JB금융지주,STK
950170,JTC,KSQ
234080,JW생명과학,STK
067290,JW신약,KSQ
001060,JW중외제약,STK
001067,JW중외제약2우B,STK
001065,JW중외제약우,STK
096760,JW홀딩스,STK
035900,JYP Ent.,KSQ
318000,KBG,KSQ
008970,KBI동양철관,STK
024840,KBI메탈,KSQ
105560,KB금융,STK
415640,KB발해인프라,STK
432320,KB스타리츠,STK
024120,KB오토시스,KSQ
478390,KB제29호스팩,KSQ
486630,KB제30호스팩,KSQ
492220,KB제31호스팩,KSQ
0037T0,KB제32호스팩,KSQ
0072Z0,KB제33호스팩,KSQ
002380,KCC,STK
021320,KCC건설,KSQ
344820,KCC글라스,STK
009070,KCTC,STK
009440,KC그린홀딩스,STK
112190,KC산업,KNX
119650,KC코트렐,STK
044180,KD,KSQ
092220,KEC,STK
003620,KG모빌리티,STK
016380,KG스틸,STK
151860,KG에코솔루션,KSQ
035600,KG이니시스,KSQ
001390,KG케미칼,STK
046440,KG파이낸셜,KSQ
060720,KH바텍,KSQ
001940,KISCO홀딩스,STK
058400,KNN,KSQ
025000,KPX케미칼,STK
092230,KPX홀딩스,STK
000040,KR모터스,STK
044450,KSS해운,STK
101000,KS인더스트리,KSQ
030200,KT,STK
033780,KT&G,STK
058850,KTcs,STK
058860,KTis,STK
089600,KT나스미디어,KSQ
418470,KT밀리의서재,KSQ
043610,KT지니뮤직,KSQ
122450,KX,KSQ
052900,KX하이텍,KSQ
036560,KZ정밀,KSQ
061970,LB세미콘,KSQ
309960,LB인베스트먼트,KSQ
093050,LF,STK
003550,LG,STK
034220,LG디스플레이,STK
051900,LG생활건강,STK
051905,LG생활건강우,STK
064400,LG씨엔에스,STK
373220,LG에너지솔루션,STK
003555,LG우,STK
032640,LG유플러스,STK
011070,LG이노텍,STK
066570,LG전자,STK
066575,LG전자우,STK
037560,LG헬로비전,STK
051910,LG화학,STK
051915,LG화학우,STK
079550,LIG디펜스앤에어로스페이스,STK
073490,LIG아큐버,KSQ
225190,LK삼양,KSQ
006260,LS,STK
010120,LS ELECTRIC,STK
091970,LSK아이로봇,KSQ
000680,LS네트웍스,STK
060370,LS마린솔루션,KSQ
417200,LS머트리얼즈,KSQ
229640,LS에코에너지,STK
078020,LS증권,KSQ
322180,LS티라유텍,KSQ
108320,LX세미콘,STK
001120,LX인터내셔널,STK
108670,LX하우시스,STK
108675,LX하우시스우,STK
383800,LX홀딩스,STK
38380K,LX홀딩스1우,STK
476080,M83,KSQ
009810,MDS스피어,STK
086960,MDS테크,KSQ
023150,MH에탄올,STK
123010,MSDI,KSQ
035420,NAVER,STK
036570,NC,STK
160550,NEW,KSQ
053290,NE능률,KSQ
181710,NHN,STK
060250,NHN KCP,KSQ
104200,NHN벅스,KSQ
054050,NH농우바이오,KSQ
